qid,label
Q1864009,Lovell Augustus Reeve
Q1915295,McLoughlin Brothers
Q1779601,Xunta de Galicia
Q3880860,Odhams Press
Q4034881,Basic Books
Q3828372,Le Lettere
Q6107326,J. W. Arrowsmith
Q11716528,Jakub Mortkowicz
Q60031332,Instytut Wydawniczy »Bibljoteka Polska«
Q60477463,Paul Lacomblez
Q95985555,Stamperia reale
Q55837033,Auguste Aubry
Q56256846,Paweł Popiel
Q5482926,Francis de Sales Lewental
Q110088918,Librairie Léon Vanier
Q20926521,Dentu
Q42405761,La Technique du Livre
Q22809943,Le Jay
Q55701686,Guillaumin et Cie
Q95864952,Librairie C. Reinwald
Q1758336,Alfred Dörffel
Q1799074,La Revue Blanche
Q27816,University of California Press
Q3963317,Società Editrice Fiorentina
Q4821046,Auguste Brancart
Q3875864,Niccolò Giannotta
Q3661096,Barbera Editore
Q3542453,Tuttle Publishing
Q4426601,Sovremennik
Q3928116,R. Bemporad & figlio
Q3567082,Weidenfeld & Nicolson
Q3831780,Libreria Editrice Felice Paggi
Q4785084,Arcade Publishing
Q5980753,Ian Allan Publishing Ltd
Q585234,Claude Briasson
Q9251277,Edward Wende
Q935891,Éditions Honoré Champion
Q3102532,Georges Crès
Q19962870,Editions Sansot
Q50819148,Adrien Égron
Q273835,Éditions Larousse
Q108747718,Antoine André
Q326431,Jacques Paul Migne
Q96473696,Francesco Pila
Q54803,Bernard Grasset
Q15649730,Bouvier
Q15651528,Ludwig Röhrscheid Verlag
Q19367440,McCarty & Davis
Q15053371,Brassey's Publishers
Q26459753,Josef Richard Vilímek
Q15123566,Press of Antonio Marzo
Q15230284,Buckland Publications Limited
Q15702074,Hurst & Co.
Q15058132,United States Playing Card Company
Q15058282,Midland Publishing
Q15197154,Éditions 1
Q15229195,Geological Survey of The Netherlands
Q19367446,Lindsay & Blakiston
Q15126130,Press of Villalpando
Q17086037,Gibbs Smith
Q2831539,Albert Savine
Q105297170,Nolin
Q8015856,William Morrow and Company
Q13030868,Zmicier Kołas
Q15052913,Chartwell Books
Q7989759,Westview Press
Q7261776,Pushcart Press
Q7890797,United States Naval Institute
Q2619680,Éditions Desclée de Brouwer
Q3092481,Félix Juven
Q2402343,Office of the Federal Register
Q1628759,Open Source Press
Q3579423,Masson
Q6106379,J. Lumsden and Son
Q5580808,Henry George Bohn
Q5540779,"George Howard Earle, Jr."
Q15053739,MacDonald and Jane's
Q15053915,Facts on File
Q15053267,Pictorial Histories Publishing Company
Q15053551,Presidio Press
Q15054612,Smithmark
Q15054593,Gallery Books
Q15297015,Bruns
Q15054625,Brian Trodd Publishing House
Q15054678,Amber Books
Q15054644,Crescent Books
Q15054636,Lowe & B. Hould Publishers
Q15053117,Greenhill Books
Q15053375,Bonanza Printing
Q15054641,Mallard Press
Q15055885,Arms and Armour Press
Q1073203,OMF International
Q19719919,Gide et J. Baudry
Q24764565,Augustin Courbé
Q4345832,Saint Petersburg Academy of Sciences
Q19800794,Tipografia Allegrini e Mazzoni
Q52149326,Louis François Delatour
Q61882222,Hippolyte Louis Guerin
Q107012856,Veuve de Jean-Baptiste-Louis Le Gras
Q818478,Benziger Brothers
Q3280327,Maisonneuve
Q13768816,Jacques-Louis Bance
Q7611458,Sterling Publishing
Q13651022,Phoenix Publishing House
Q11918026,Editorial Selecta
Q13746872,Jilin Education Publishing House
Q15052875,Helion & Company
Q15053077,Airlife Publishing
Q15053072,Salamander Books
Q14271902,Belaruskai͡a ėntsyklapedyi͡a
Q14624871,Editorial Garbo
Q14624944,Lambert Schneider Verlag
Q14849711,Draking
Q98961757,Balthazar Bance
Q3655395,Adolf Marks
Q3579473,Perrin
Q3163854,Jean-Baptiste Baillière
Q23449346,Victor Masson et fils
Q23662464,Michel Lambert
Q4304401,Imperatorskoe obshchestvo istorīi i drevnosteĭ rossīĭskikh
Q4798957,Arthur Hall
Q378809,Hutchinson
Q8317774,Charles Marpon
Q3212232,La Renaissance du livre
Q82109,Martin Bossange
Q2619904,Archibald Constable
Q3564797,WSOY
Q3552154,Urbain Canel
Q3488100,Société nationale des Antiquaires de France
Q5025356,Cambridge Antiquarian Society
Q5287721,"Dodd, Mead & Co."
Q5237388,David McKay
Q4922905,National Labour Press
Q3280328,Maisonneuve et Larose
Q3270860,Léon Curmer
Q20202436,Det Nordiske Forlag
Q86516394,Teodor Antoni Melchior Paprocki
Q634246,Breitkopf & Härtel
Q2958183,Charles Louis Fleury Panckoucke
Q1739825,Kessinger Publishing
Q314219,Bibliographisches Institut
Q3488144,Société des gens de lettres
Q3099466,Gauthier-Villars
Q2847623,André Delpeuch
Q641555,Freedom Press
Q110622396,Jaroslav Šnajdr
Q20829329,Quorum
Q110805078,Scuola tipografica Michelerio
Q110821135,Tipografia di Giuseppe Nani
Q105502512,Stamperia Camerale
Q70457,Maurice Schlesinger
Q28530642,Librairie Fischbacher
Q20724495,Éditions Delagrave
Q616067,La Nouvelle Revue française
Q621534,Éditions Grasset
Q3102053,Georges-Antoine Bridel
Q3083952,François Bernouard
Q1710159,Jacques Charles Brunet
Q3579682,Éditions traditionnelles
Q7291435,Rand School of Social Science
Q6979117,National Union of Conservative and Constitutional Associations
Q6973751,National Institute on Drug Abuse
Q7668241,T. Fisher Unwin
Q8011829,William Heinemann
Q7408089,Sam Rosa
Q3237899,Librairie Droz
Q2616538,La Jeune Belgique
Q2642033,Alexander Eliasberg
Q3026891,Didier
Q26132793,Jules Renouard
Q50818809,Devilly
Q3260541,Louis Gabriel Michaud
Q20993358,"Furne, Jouvet et Cie"
Q704649,Pierre Leroux
Q501461,Le Journal du Dimanche
Q322341,Pierre-Jean Mariette
Q1273073,Ferdinand Dümmler
Q95145,George Russell & Unwin
Q22771879,Georges Crès et Cie
Q96654326,H. Le Soudier
Q15637376,Edizioni Madella
Q110856505,Girolamo Marzorati
Q105753018,Librairie universelle
Q3371932,Paul Ollendorff
Q2933126,Cahiers de la Quinzaine
Q896837,C.H. Beck
Q174839,Jean de Tournes
Q370287,Birkhäuser
Q830655,Königshausen & Neumann
Q316015,Insel Verlag
Q84479780,Pierre Gosse
Q16194953,Charles Gosselin
Q16649652,Michel Lévy
Q110495939,Jacques-Simon Merlin
Q52833431,Léon Chailley
Q59419393,Firmin-Didot Frères
Q72945790,F. Roy
Q23138409,Librairie des bibliophiles
Q26884626,J. Yonet
Q102065378,Perrin et C.ie
Q110728416,Jacques-François Froullé
Q61023906,Pierre-Théophile Barrois
Q87008393,Bloud & Gay
Q82781515,Jean-Luc Nyon
Q2188,Gyldendal
Q3101600,George G. Harrap and Co.
Q2908391,The Bodley Head
Q2846305,Henry Colburn
Q3056957,Ernest Flammarion
Q3060135,Eugène Rey
Q64743678,Simon-Alexandre Ledoyen
Q3579578,"Éditions de la Sirène, Paris"
Q25397792,La Liberté
Q26907177,Editions Maloine
Q28865285,Imprimerie Lahure
Q3579232,Éditions Aubier-Montaigne
Q28548791,l'auteur
Q28647509,A. Panis
Q55751576,G. Bellais
Q28842749,Dr. Ed. Grégr a syn
Q27920191,Jednota pro obnovu kláštera blahoslavené Anežky
Q28840547,Hejda a Tuček
Q1508259,Routledge
Q1651497,Milton Bradley
Q16662472,Maison Quantin
Q33112853,Alfred Mame et fils
Q59770288,Menard Libraire-Editeur
Q11951928,Tipografia de L'Avenç
Q11909308,Biblioteca Popular de L'Avenç
Q11993457,Royal Spanish Academy
Q5666172,Harrison and Sons
Q10663257,Schibsted Forlag
Q7895979,University of North Texas Press
Q10319326,B. L. Garnier
Q3751097,FrancoAngeli
Q7896633,University of Wisconsin Press
Q10685961,Sveriges släktforskarförbund
Q90317716,Victor Desenne
Q16216531,Isidore Liseux
Q50816605,Gustave Gounouilhou
Q91916142,Vve Dondey-Dupré
Q505871,Benjamin Tucker
Q390551,National Institutes of Health
Q115649,Charles Carrington
Q127992,Association for Computing Machinery
Q219825,National Convention
Q2653181,Adolf Noreen
Q12026555,Josef Richard Vilímek
Q15978580,Gustaf Stjernström
Q2364172,Mánes Union of Fine Arts
Q22808381,Knihkupectví Františka Řivnáče
Q59212583,J. Hatchard
Q15303873,Thomas Berney
Q26711953,William Ridgway
Q106690044,"McKinley, Stone and Mackenzie"
Q24068427,Archibald Constable & Co.
Q52829362,Francis B. Felt
Q18819527,John Russell Smith
Q24742220,Robert Faulder
Q16821968,The Athenian Society
Q36344516,"Stevens and Sons, Ltd"
Q59459128,"Phillips, Sampson and Company"
Q59771127,Mumil Publishing Co.
Q86781306,Edmonston & Douglas
Q51623519,Reynolds & Co.
Q77874824,Kwang Hsüeh Publishing House
Q96678514,M.L. Hutchinson
Q106690063,The Goldsmith Publishing Company
Q104635885,C. and J. Ollier
Q98690808,James Clarke & Co.
Q659664,Hakluyt Society
Q722999,Erhard Reuwich
Q19416683,Arnoldo Moen
Q19274715,Editorial Calleja
Q19415607,Press of Fuentenebro
Q19458177,Manuel Gleizer
Q19358359,Paragon-Verlag
Q19323335,filmdenken Verlag
Q19444101,Garnier Hermanos
Q19274313,Jules Carbonel
Q19447994,Press of Piferrer
Q19446900,Imprenta de Manuel Tello
Q225863,Josephine Butler
Q3504917,Czech Statistical Office
Q3432233,Kunstforeningen
Q3340791,Nicolas Simart
Q3120217,Guillaume Vandive
Q1668479,J.P. Bachem Verlag
Q2997531,Cornell University Press
Q1869031,London Missionary Society
Q72001762,Bibliothèque des Curieux
Q96364057,Jules-Pierre-Guillaume Fick
Q109654141,J.  Rouam
Q64743985,H. Mansart
Q2039376,Otto Janke
Q2756191,Guillaume Rouillé
Q2080179,Columbia University Press
Q6775562,Martin Greenberg
Q18911623,Henry Campkin
Q16995184,Henry Altemus Company
Q7287491,Ralph Fletcher Seymour
Q18681464,Charles Tilt
Q26251764,Church Penitentiary Association
Q19883285,Nichols family
Q104843050,"Seeley, Service and Company, Limited"
Q26233080,Cornelius Buck
Q104786155,Anthony Treherne & Co. Limited
