title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"Livro de Batismos de Livres e Escravos, 1744-1764",Metadata uploaded,Ingested,Generated metadata/to be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 006.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:73699,73699,270,10/26/17,,2017-10-26T00:00:00Z,10/26/17,
"[Livro de batismos e óbitos de escravos, 1743-1757]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 007.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:73960,73960,263,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"[Livro de batismos mistos, 1789-1791]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 008.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:74234,74234,22,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"[Livro de batismos de livres, 1755-1756]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 009.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75428,75428,9,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"[Livro de batismos, 1761-1762]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 010.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75438,75438,9,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"[Livro de óbitos, 1782]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 011.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75448,75448,21,10/26/17,,2017-10-26T00:00:00Z,10/26/17,
"[Livro de batismo de livres, 1755]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 012.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75470,75470,3,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"Livro de casamentos de escravos e livres, 1733-1743",Metadata in spreadsheet,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 013.1,ESSSS/Brazil/Rio de Janeiro/Niterói/São Sebastião de Itaipu,,essss:75474,75474,51,10/26/17,,2017-10-26T00:00:00Z,10/26/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Livro de casamentos de livres, 1756-1758]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 014.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75526,75526,5,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"Livro de batismos de escravos, 1756-1763",Metadata in spreadsheet,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 015.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75532,75532,41,10/26/17,,2017-10-26T00:00:00Z,10/26/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
