string,material,material1,material2,medium,surface
"Etching, lithograph, and screen printing techniques on mulberry paper with hand-brushed tea stain and blue prisma color pencil with wire and thread","['', '', 'Etching, lithograph, and screen printing techniques', 'mulberry paper with hand-brushed tea stain and blue prisma color pencil with wire and thread']",,,"Etching, lithograph, and screen printing techniques",mulberry paper with hand-brushed tea stain and blue prisma color pencil with wire and thread
"Etching, mezzotint","['', '', '', '']",,,,
"Etching-drypoint, second state","['', '', '', '']",,,,
Etchings in drypoint,"['', '', '', '']",,,,
"Etchings, lithographs and a facsimile book","['Etchings, lithographs', 'a facsimile book', '', '']","Etchings, lithographs",a facsimile book,,
Fiery Canon print/paper on aluminum,"['', '', 'Fiery Canon print/paper', 'aluminum']",,,Fiery Canon print/paper,aluminum
Gelatin silver print,"['', '', '', '']",,,,
Gilded Bronze,"['', '', '', '']",,,,
Gilded wood,"['', '', '', '']",,,,
Gilded wood with red underpaint,"['', '', '', '']",,,,
Gilt bronze,"['', '', '', '']",,,,
Glass,"['Glass', '', '', '']",Glass,,,
Glazed ceramic,"['', '', '', '']",,,,
Glazed ceramic with underglaze blue design around opening,"['', '', '', '']",,,,
Gold,"['Gold', '', '', '']",Gold,,,
Gold and silver lacquer (maki-e) on black background,"['', '', 'Gold and silver lacquer (maki-e)', 'black background']",,,Gold and silver lacquer (maki-e),black background
Gold and silver lacquer on wood (inro);  metal (ojime); ivory and damascene ware (netsuke),"['', '', 'Gold and silver lacquer', 'wood (inro);  metal (ojime); ivory and damascene ware (netsuke)']",,,Gold and silver lacquer,wood (inro);  metal (ojime); ivory and damascene ware (netsuke)
Gold and silver lacquer on wood (inro); agate (ojime); lacquered wood (netsuke),"['', '', 'Gold and silver lacquer', 'wood (inro); agate (ojime); lacquered wood (netsuke)']",,,Gold and silver lacquer,wood (inro); agate (ojime); lacquered wood (netsuke)
Gold and silver lacquer on wood (inro); turquoise (ojime); metal (scoop set); ivory (netsuke),"['', '', 'Gold and silver lacquer', 'wood (inro); turquoise (ojime); metal (scoop set); ivory (netsuke)']",,,Gold and silver lacquer,wood (inro); turquoise (ojime); metal (scoop set); ivory (netsuke)
Gold lacquer (maki-e) on dark brown background,"['', '', 'Gold lacquer (maki-e)', 'dark brown background']",,,Gold lacquer (maki-e),dark brown background
