qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
Q5552550,yes,yes,,,,"Beneker, Gerrit Albertus","American painter and illustrator, 1882-1934",Gerrit Albertus Beneker,"[""Beneker, Gerrit Albertus (American painter and illustrator, 1882-1934)""]"
Q99484208,yes,yes,,,,"Benoist, Philippe",1813-,Philippe Benoist,"[""Benoist, Philippe (1813-)"",""Benoist, Philippe (1813-) and Bayot, Adolphe Jean-Baptiste"",""Benoist, Philippe (1813-) and Gaildreau, Jules (1816-1898)""]"
Q1373528,yes,no,,,,"Bérain, Jean, the elder","French designer, architect, and engraver, 1640-1711",Jean Bérain the elder,"[""Bérain, Jean, the elder (French designer, architect, and engraver, 1640-1711)""]"
Q711737,yes,yes,,,,"Berchem, Nicolaes, the elder","Dutch painter, printmaker, and draftsman, 1620-1683",Nicolaes Berchem the elder,"[""Berchem, Nicolaes, the elder (Dutch painter, printmaker, and draftsman, 1620-1683)""]"
Q59546235,yes,yes,,,,"Berg, Siri","1921-, born Stockholm, Sweden",Siri Berg,"[""Berg, Siri (1921-, born Stockholm, Sweden)""]"
,yes,yes,,,,"Berger, Emily",,Emily Berger,"[""Berger, Emily""]"
,yes,yes,,,,"Berger, Paul Eric","American photographer and printmaker, born 1948",Paul Eric Berger,"[""Berger, Paul Eric (American photographer and printmaker, born 1948)""]"
Q264193,yes,no,,,,"Bernard, Émile","French painter, sculptor, and engraver, 1868-1941",Émile Bernard,"[""Bernard, Émile (French painter, sculptor, and engraver, 1868-1941)""]"
Q3158256,yes,yes,,,,"Bernard, Jean-Joseph","French calligrapher and draftsman, 1740-1809",Jean-Joseph Bernard,"[""Bernard, Jean-Joseph (French calligrapher and draftsman, 1740-1809)""]"
,yes,no,,,,"Bernards, B.",,B. Bernards,"[""Bernards, B.""]"
Q6695843,yes,yes,,,,"Bertelli, Luca","Italian printmaker, publisher, active ca. 1560-ca. 1594",Luca Bertelli,"[""Bertelli, Luca (Italian printmaker, publisher, active ca. 1560-ca. 1594)""]"
Q1689979,yes,yes,,,,"Berthold, Joachim","German sculptor, 1917-1990",Joachim Berthold,"[""Berthold, Joachim (German sculptor, 1917-1990)""]"
Q2696819,yes,yes,,,,"Bertini, Gianni","Italian painter, born 1922",Gianni Bertini,"[""Bertini, Gianni (Italian painter, born 1922)""]"
Q3388088,yes,yes,,,,"Bettelini, Pietro Antonio Leone","Italian engraver, 1763-1829",Pietro Antonio Leone Bettelini,"[""Bettelini, Pietro Antonio Leone (Italian engraver, 1763-1829)""]"
Q6686753,yes,yes,,,,"Betts, Louis","American painter, 1873-1961",Louis Betts,"[""Betts, Louis (American painter, 1873-1961)""]"
Q77010447,yes,yes,,,,"Beuys, Joseph","German sculptor, performance artist, and printmaker, 1921-1986",Joseph Beuys,"[""Beuys, Joseph (German sculptor, performance artist, and printmaker, 1921-1986)""]"
Q22002308,yes,yes,,,,"Bicknell, William Harry Warren","American etcher, 1860-1947",William Harry Warren Bicknell,"[""Bicknell, William Harry Warren (American etcher, 1860-1947)""]"
Q15994214,yes,yes,,,,"Biel-Bienne, Eugene","1902-1969, born Vienna, Austria",Eugene Biel-Bienne,"[""Biel-Bienne, Eugene (1902-1969, born Vienna, Austria)"",""Biel-Bienne, Eugene (1902-1969, born Vienna, Austria, died Nashville, TN)"",""Biel-Bienne, Eugene (1910-1969, born Vienna, Austria)""]"
Q79271415,yes,yes,,,,"Bill, Max","Swiss architect, painter, and sculptor, 1908-1994",Max Bill,"[""Bill, Max (Swiss architect, painter, and sculptor, 1908-1994)""]"
,yes,no,,,,"Bill, Virginia F.",,Virginia F. Bill,"[""Bill, Virginia F.""]"
,yes,no,,,,"Birchall, L. M.",,L. M. Birchall,"[""Birchall, L. M.""]"
